Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Tier 2 subs,Tier 3 subs,Total Gifted Subs,Gifted Tier 1 subs
Sun Sep 08 2019,0,0,0,4,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Sep 09 2019,0,0,10.56,698,34,20,9,17,0.68,70,22,1764,168,44,2.305,0,0,5.27,0,0,0,0,0,1,1,0,0,0,0
Tue Sep 10 2019,0,0,0,1,1,21,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Sep 11 2019,0,0,4.29,98,12,3,0,4,0.54,24,9,553,129,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Sep 12 2019,0,0,9.05,370,28,3,0,9,15.1,77,24,1530,168,46,4.975,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Fri Sep 13 2019,0,0,7.07,328,22,3,2,5,0.19,61,14,1054,151,40,2.66,0,0,0.11,0,0,0,0,0,1,1,0,0,0,0
Sat Sep 14 2019,0,0,0,2,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Sep 15 2019,0,0,0,1,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Sep 16 2019,0,0,10.19,382,27,4,0,3,2.41,80,23,1783,176,55,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0
Tue Sep 17 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Sep 18 2019,0,0,8.08,379,15,2,0,1,10.45,43,11,1301,162,31,7.275,0,0,0,0,0,0,0,0,3,3,0,0,0,0
Thu Sep 19 2019,0,0,5.73,500,16,2,1,2,0.09,35,10,1089,191,22,0,0,2.365,4.43,0,0,0,0,0,0,0,0,0,1,1
Fri Sep 20 2019,0,0,4.85,602,13,0,0,2,11.44,49,11,839,175,24,4.68,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Sat Sep 21 2019,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Sep 22 2019,0,0,2.23,183,11,3,0,1,0,22,5,471,212,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Sep 23 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Sep 24 2019,0,0,17.25,448,30,3,0,9,51.33,120,85,2673,157,93,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0
Wed Sep 25 2019,0,0,4.19,294,23,2,0,1,7.69,45,18,741,178,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Sep 26 2019,0,0,7.48,390,13,14,3,2,0.58,36,11,1211,163,25,2.015,0,0,0.05,0,0,0,0,0,1,1,0,0,0,0
Fri Sep 27 2019,0,0,3.74,394,14,15,2,1,0.73,36,11,546,147,23,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0
Sat Sep 28 2019,0,0,0,1,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Sep 29 2019,0,0,6.41,669,28,6,0,7,19.88,65,15,1167,183,45,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0
Mon Sep 30 2019,0,0,7.61,267,18,1,1,3,6.57,50,13,1217,160,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Oct 01 2019,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Oct 02 2019,0,0,10.21,284,15,1,0,0,36.02,77,54,1552,152,66,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0
Thu Oct 03 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Oct 04 2019,0,0,4.72,314,13,10,5,3,0,28,8,756,162,19,2.32,0,2.59,0,0,0,0,0,0,1,1,0,0,1,1
Sat Oct 05 2019,0,0,8.2,592,24,5,7,4,22.86,74,20,1492,183,37,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0
Sun Oct 06 2019,0,0,5.67,263,13,7,0,4,9.61,44,10,1020,184,30,2.27,0,4.37,0,0,0,0,0,0,1,1,0,0,2,2
Mon Oct 07 2019,0,0,4.38,227,17,5,2,1,9.2,38,9,674,155,30,0,0,0,0,0.0315,0,0,0,0,0,0,0,0,0,0
Tue Oct 08 2019,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Oct 09 2019,1,19.15,5.19,268,14,19,0,2,0.31,37,9,981,188,27,0,0,0,0,0.0735,0,0,0,0,0,0,0,0,0,0
Thu Oct 10 2019,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Oct 11 2019,0,0,5.02,451,20,3,1,5,3.13,60,11,1055,210,41,0,2.495,0,0,0.0455,0,0,0,1,0,0,0,0,0,0
Sat Oct 12 2019,0,0,3.9,266,13,1,0,1,9.54,40,15,807,208,31,2.375,0,0,0,0.021,0,0,0,0,1,1,0,0,0,0
Sun Oct 13 2019,1,13.9,5.08,388,15,2,2,5,3.12,56,10,1316,259,39,2.36,0,0,0,0.055999999999999994,0,0,0,0,1,1,0,0,0,0
Mon Oct 14 2019,0,0,7.98,307,17,0,0,0,20.04,47,13,1532,192,37,1.885,0,0,0,0.021,0,0,0,0,1,1,0,0,0,0
Tue Oct 15 2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0,0,0,0,0,0,0,0,0
Wed Oct 16 2019,0,0,6.66,175,8,2,0,3,0.75,32,11,1193,180,22,0,2.495,0,0,0.013999999999999999,0,0,0,1,0,0,0,0,0,0
Thu Oct 17 2019,0,0,5.6,217,12,0,0,0,0.18,29,9,1136,202,24,0,0,0,0.49,0.0175,0,0,0,0,0,0,0,0,0,0
Fri Oct 18 2019,0,0,7.07,331,13,0,1,1,2.62,49,12,1336,191,33,4.755,2.495,0,0,0.035,0,5.2,0,1,2,2,0,0,0,0
Sat Oct 19 2019,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Oct 20 2019,0,0,11.38,568,22,0,1,5,7.34,87,16,2834,249,62,4.61,0,0,0,0.091,0,0,0,0,2,2,0,0,0,0
